,DateReopened,DateClosed,Property,PropertyType,Status,Jurisdiction,Article
0,24 Jun 2020,17 Mar 2020,Emerald Downs,Horse Track,Racing without Spectators,Washington,Emerald Downs reopening update
1,24 Jun 2020,19 Mar 2020,Hippodrome Trois-Rivi̬res,Horse Track Racino,Open,Quebec,Racing returns to Quebec
2,24 Jun 2020,18 Mar 2020,Sands Regency Casino Hotel,Commercial Casino,Open,Nevada,Sands Regency Casino Hotel reopening
3,24 Jun 2020,17 Mar 2020,The Skagit Casino Resort,Indian Casino,Open,Washington,Skagit Valley Casino reopens on Wednesday
4,23 Jun 2020,18 Jun 2020,Coulee Dam Casino,Indian Casino,Open,Washington,Coulee Dam Casino reopens
5,23 Jun 2020,18 Mar 2020,Eagle Mountain Casino,Indian Casino,Open,California,Eagle Mountain Casino to reopen at midnight on 23 June
6,23 Jun 2020,20 Mar 2020,Twin Pine Casino and Hotel,Indian Casino,Open,California,Twin Pine Casino and Hotel reopens
7,22 Jun 2020,17 Mar 2020,All Star Lanes & Casino,Card Room,Open,Washington,All Star Lanes & Casino reopening
8,22 Jun 2020,17 Mar 2020,Bingo Palace,Bingo Hall,Open,Alberta,Bingo Palace reopening update
9,22 Jun 2020,18 Mar 2020,Cedar Lakes Casino Hotel,Indian Casino,Open,Minnesota,Leech Lake Band of Ojibwe casinos will reopen 22 June
10,22 Jun 2020,14 Mar 2020,Empire City Casino,Horse Track Racino,Racing without Spectators,New York,Empire City Casino reopening
11,22 Jun 2020,17 Mar 2020,Golden Mesa Casino,Indian Casino,Open,Oklahoma,Golden Mesa Casino announces reopening date
12,22 Jun 2020,17 Mar 2020,Mohegan Sun Pocono,Horse Track Racino,Open,Pennsylvania,Mohegan Sun Pocono reopens
13,22 Jun 2020,17 Mar 2020,Mount Airy Casino Resort,Commercial Casino,Open,Pennsylvania,Mount Airy Casino Resort to reopen doors on 22 June
14,22 Jun 2020,18 Mar 2020,Northern Lights Casino Hotel,Indian Casino,Open,Minnesota,Leech Lake Band of Ojibwe casinos will reopen 22 June
15,22 Jun 2020,18 Mar 2020,Potawatomi Carter Casino Hotel,Indian Casino,Open,Wisconsin,Potawatomi Carter Casino Hotel to reopen on 22 June
