,Property,City,PropertyType,Status,DateClosed,DateReopened
0,Property,City,Property Type,Status,Date Reopened,Date Closed
1,500 Club,Clovis,Card Room,Closed,,19 Mar 2020
2,Agua Caliente Casino Palm Springs,Palm Springs,Indian Casino,Reopened,22 May 2020,17 Mar 2020
3,Agua Caliente Resort Casino Spa Rancho Mirage,Rancho Mirage,Indian Casino,Reopened,22 May 2020,17 Mar 2020
4,Alameda County Fairgrounds,Pleasanton,Horse Track,Racing without Spectators,19 Jun 2020,17 Mar 2020
5,Army Street Bingo,San Francisco,Bingo Hall,Closed,,11 Mar 2020
6,Artichoke Joe's Casino,San Bruno,Card Room,Closed,,17 Mar 2020
7,Augustine Casino,Coachella,Indian Casino,Reopened,15 Jun 2020,15 Mar 2020
8,Bankers Casino,Salinas,Card Room,Closed,,21 Mar 2020
9,Barona Resort & Casino,Lakeside,Indian Casino,Reopened,27 May 2020,20 Mar 2020
10,Bay 101 Casino,San Jose,Card Room,Closed,,14 Mar 2020
11,Bear River Casino Resort,Loleta,Indian Casino,Reopened,24 May 2020,18 Mar 2020
12,Bear River Pump and Play,Loleta,Indian Casino,Reopened,24 May 2020,18 Mar 2020
13,Bingo Ranch,Livermore,Bingo Hall,Closed,,13 Mar 2020
14,Black Oak Casino Resort,Tuolumne,Indian Casino,Reopened,1 Jun 2020,18 Mar 2020
15,Blue Devils Bingo - Concord,Concord,Bingo Hall,Reopened,13 Jun 2020,17 Mar 2020
16,Blue Lake Casino & Hotel,Blue Lake,Indian Casino,Closed,,18 Mar 2020
17,Cache Creek Casino Resort,Brooks,Indian Casino,Reopened,8 Jun 2020,17 Mar 2020
18,Cahuilla Casino Hotel,Anza,Indian Casino,Reopened,27 May 2020,18 Mar 2020
19,California Grand Casino,Pacheco,Card Room,Closed,,16 Mar 2020
20,Canyon Lanes at Morongo,Cabazon,Indian Casino,Reopened,29 May 2020,17 Mar 2020
21,Capitol Casino,Sacramento,Card Room,Closed,,18 Mar 2020
22,Casino M8trix,San Jose,Card Room,Closed,,14 Mar 2020
23,Casino Monterey - Marina Club,Marina,Card Room,Closed,,18 Mar 2020
24,Casino Morongo,Cabazon,Indian Casino,Reopened,22 May 2020,17 Mar 2020
25,Casino Pauma,Pauma Valley,Indian Casino,Reopened,12 Jun 2020,15 Mar 2020
26,Casino Real,Manteca,Card Room,Closed,,18 Mar 2020
27,Cher-Ae Heights Casino,Trinidad,Indian Casino,Reopened,22 May 2020,19 Mar 2020
28,Chicken Ranch Bingo & Casino,Jamestown,Indian Casino,Reopened,1 Jun 2020,16 Mar 2020
29,Chukchansi Gold Resort & Casino,Coarsegold,Indian Casino,Reopened,1 Jun 2020,20 Mar 2020
30,Chumash Casino Resort,Santa Ynez,Indian Casino,Reopened,10 Jun 2020,16 Mar 2020
31,Club One Casino and Event Center,Fresno,Card Room,Closed,,17 Mar 2020
32,Colusa Casino Resort,Colusa,Indian Casino,Reopened,3 Jun 2020,20 Mar 2020
33,Commerce Casino,Commerce,Card Room,Reopened,19 Jun 2020,14 Mar 2020
34,Coyote Valley Casino,Redwood Valley,Indian Casino,Reopened,7 Jun 2020,18 Mar 2020
35,Coyote Valley One Stop Shop,Redwood Valley,Indian Casino,Closed,,19 Mar 2020
36,Crystal Casino & Hotel,Compton,Card Room,Closed,,16 Mar 2020
37,Del Mar,Del Mar,Horse Track,Closed,,1 Mar 2020
38,Desert Rose Casino,Alturas,Indian Casino,Reopened,1 Jun 2020,20 Mar 2020
39,Diamond Jim's Casino,Rosamond,Card Room,Closed,,19 Mar 2020
40,Diamond Mountain Casino Hotel Brewery,Susanville,Indian Casino,Reopened,4 Jun 2020,19 Mar 2020
41,Eagle Mountain Casino,Porterville,Indian Casino,Reopened,23 Jun 2020,17 Mar 2020
42,Elk Valley Casino,Crescent City,Indian Casino,Reopened,1 Jun 2020,19 Mar 2020
43,Fantasy Springs Resort Casino,Indio,Indian Casino,Reopened,2 Jun 2020,17 Mar 2020
44,Feather Falls Casino,Oroville,Indian Casino,Reopened,27 May 2020,20 Mar 2020
45,Florin Road Bingo,Sacramento,Bingo Hall,Closed,,16 Mar 2020
46,Foothill Square Bingo,Oakland,Bingo Hall,Closed,,17 Mar 2020
47,Garcia River Casino,Point Arena,Indian Casino,Closed,,27 Mar 2020
48,Garlic City Casino,Gilroy,Card Room,Closed,,14 Mar 2020
49,Gold Country Casino & Hotel,Oroville,Indian Casino,Reopened,22 May 2020,20 Mar 2020
50,Golden Acorn Casino & Travel Center,Campo,Indian Casino,Reopened,22 May 2020,20 Mar 2020
51,Golden Gate Fields,Berkeley,Horse Track,Closed,,12 Mar 2020
52,Golden West Casino,Bakersfield,Card Room,Closed,,18 Mar 2020
53,Graton Resort & Casino,Rohnert Park,Indian Casino,Reopened,18 Jun 2020,17 Mar 2020
54,Hard Rock Hotel & Casino Sacramento at Fire Mountain,Wheatland,Indian Casino,Reopened,21 May 2020,20 Mar 2020
55,Harrah's Northern California,Ione,Indian Casino,Reopened,2 Jun 2020,18 Mar 2020
56,Harrah's Resort Southern California,Valley Center,Indian Casino,Reopened,22 May 2020,16 Mar 2020
57,Havasu Landing Resort & Casino,Havasu Lake,Indian Casino,Reopened,3 Jun 2020,21 Mar 2020
58,Hawaiian Gardens Casino,Hawaiian Gardens,Card Room,Closed,,16 Mar 2020
59,Hidden Oaks Casino,Covelo,Indian Casino,Reopened,15 Jun 2020,19 Mar 2020
60,Hollywood Park Casino,Inglewood,Card Room,Closed,,16 Mar 2020
61,Hustler Casino,Gardena,Card Room,Reopened,19 Jun 2020,14 Mar 2020
62,Jackson Rancheria Casino & Hotel,Jackson,Indian Casino,Reopened,8 Jun 2020,18 Mar 2020
63,Jamul Casino,Jamul,Indian Casino,Reopened,18 May 2020,20 Mar 2020
64,Kings Card Club,Stockton,Card Room,Closed,,18 Mar 2020
